t,queue_length,active,arrived,handled,completed,timed_out,rejected,avg_latency,slowdown,drop_p
0,0,0,0,0,0,0,0,NaN,1.2128434984274237,0
16,0,0,1,1,0,0,0,NaN,1.2152480113595179,0
32,0,1,1,1,0,0,0,NaN,1.2176572539129051,0
48,0,2,0,0,0,0,0,NaN,1.22007123523777,0
64,0,2,0,0,0,0,0,NaN,1.2224899645014315,0
80,0,2,2,2,1,0,0,64,1.2249134508883754,0
96,0,3,0,0,0,0,0,NaN,1.2273417036002887,0
112,0,3,1,1,1,0,0,32,1.2297747318560805,0
128,0,3,1,1,1,0,0,16,1.2322125448919217,0
144,0,3,0,0,0,0,0,NaN,1.2346551519612698,0
160,0,3,2,2,0,0,0,NaN,1.2371025623349012,0
176,0,5,2,2,1,0,0,48,1.2395547853009434,0
192,0,6,0,0,0,0,0,NaN,1.2420118301648966,0
208,0,6,2,2,0,0,0,NaN,1.2444737062496776,0
224,0,8,1,1,2,0,0,120,1.2469404228956393,0
240,0,7,2,2,3,0,0,85.33333333333333,1.2494119894606073,0
256,0,6,3,3,0,0,0,NaN,1.2518884153199081,0
272,0,9,3,3,1,0,0,32,1.2543697098663986,0
288,0,11,1,1,0,0,0,NaN,1.2568558825105005,0
304,0,12,1,1,4,0,0,92,1.2593469426802262,0
320,0,9,2,2,1,0,0,48,1.2618428998212148,0
336,0,10,7,7,0,0,0,NaN,1.2643437633967607,0
352,0,17,1,1,1,0,0,48,1.2668495428878392,0
368,0,17,0,0,3,0,0,96,1.2693602477931487,0
384,0,14,1,1,2,0,0,56,1.2718758876291307,0
400,0,13,1,1,0,0,0,NaN,1.2743964719300074,0
416,0,14,5,5,0,0,0,NaN,1.2769220102478116,0
432,0,19,2,2,4,0,0,116,1.2794525121524132,0
448,0,17,0,0,1,0,0,48,1.2819879872315578,0
464,0,16,1,1,1,0,0,32,1.2845284450908925,0
480,0,16,1,1,4,0,0,172,1.2870738953539984,0
496,0,13,3,3,2,0,0,120,1.2896243476624254,0
512,0,14,5,5,4,0,0,88,1.2921798116757144,0
528,0,15,1,1,1,0,0,96,1.2947402970714403,0
544,0,15,2,2,2,0,0,40,1.2973058135452356,0
560,0,15,1,1,2,0,0,96,1.2998763708108236,0
576,0,14,1,1,4,0,0,100,1.302451978600052,0
592,0,11,1,1,2,0,0,32,1.3050326466629207,0
608,0,10,0,0,4,0,0,248,1.307618384767617,0
624,0,6,1,1,0,0,0,NaN,1.3102092027005459,0
640,0,7,0,0,1,0,0,128,1.3128051102663612,0
656,0,6,3,3,0,0,0,NaN,1.3154061172879994,0
672,0,9,7,7,0,0,0,NaN,1.3180122336067055,0
688,0,16,2,2,2,0,0,152,1.3206234690820748,0
704,0,16,1,1,2,0,0,112,1.323239833592076,0
720,0,15,0,0,5,0,0,44.8,1.3258613370330872,0
736,0,10,1,1,0,0,0,NaN,1.3284879893199273,0
752,0,11,4,4,3,0,0,80,1.3311198003858866,0
768,0,12,0,0,2,0,0,104,1.3337567801827623,0
784,0,10,1,1,1,0,0,32,1.3363989386808859,0
800,0,10,3,3,2,0,0,48,1.3390462858691596,0
816,0,11,1,1,0,0,0,NaN,1.3416988317550884,0
832,0,12,2,2,1,0,0,128,1.344356586364806,0
848,0,13,4,4,1,0,0,48,1.347019559743116,0
864,0,16,1,1,2,0,0,64,1.34968776195352,0
880,0,15,1,1,1,0,0,80,1.3523612030782477,0
896,0,15,0,0,4,0,0,280,1.355039893218296,0
912,0,11,1,1,3,0,0,106.66666666666667,1.3577238424934528,0
928,0,9,2,2,3,0,0,74.66666666666667,1.3604130610423364,0
944,0,8,1,1,0,0,0,NaN,1.3631075590224269,0
960,0,9,1,1,2,0,0,96,1.3658073466100964,0
976,0,8,1,1,3,0,0,101.33333333333333,1.3685124340006445,0
992,0,6,3,3,2,0,0,48,1.3712228314083272,0
1008,0,7,2,2,1,0,0,16,1.373938549066394,0
1024,0,8,3,3,0,0,0,NaN,1.3766595972271205,0
1040,0,11,1,1,0,0,0,NaN,1.3793859861618367,0
1056,0,12,2,2,2,0,0,48,1.3821177261609647,0
1072,0,12,2,2,5,0,0,147.2,1.3848548275340513,0
1088,0,9,1,1,0,0,0,NaN,1.3875973006097957,0
1104,0,10,1,1,1,0,0,80,1.39034515573609,0
1120,0,10,0,0,1,0,0,48,1.393098403280048,0
1136,0,9,2,2,3,0,0,128,1.3958570536280397,0
1152,0,8,1,1,0,0,0,NaN,1.3986211171857252,0
1168,0,9,1,1,1,0,0,80,1.4013906043780846,0
1184,0,9,2,2,0,0,0,NaN,1.4041655256494547,0
1200,0,11,5,5,2,0,0,224,1.4069458914635615,0
1216,0,14,1,1,2,0,0,104,1.409731712303555,0
1232,0,13,3,3,4,0,0,56,1.4125229986720407,0
1248,0,12,2,2,2,0,0,128,1.4153197610911101,0
1264,0,12,4,4,1,0,0,32,1.4181220101023817,0
1280,0,15,1,1,4,0,0,44,1.4209297562670298,0
1296,0,12,0,0,2,0,0,88,1.42374301016582,0
1312,0,10,2,2,2,0,0,72,1.4265617823991406,0
1328,0,10,2,2,2,0,0,48,1.4293860835870367,0
1344,0,10,1,1,2,0,0,48,1.4322159243692483,0
1360,0,9,1,1,2,0,0,112,1.4350513154052384,0
1376,0,8,1,1,1,0,0,112,1.4378922673742314,0
1392,0,8,1,1,0,0,0,NaN,1.440738790975245,0
1408,0,9,1,1,1,0,0,48,1.4435908969271214,0
1424,0,9,2,2,1,0,0,48,1.4464485959685691,0
1440,0,10,1,1,0,0,0,NaN,1.4493118988581877,0
1456,0,11,0,0,2,0,0,96,1.452180816374511,0
1472,0,9,8,8,2,0,0,40,1.4550553593160342,0
1488,0,15,5,5,0,0,0,NaN,1.4579355385012496,0
1504,0,20,3,3,3,0,0,192,1.460821364768685,0
1520,0,20,1,1,0,0,0,NaN,1.463712848976934,0
1536,0,21,1,1,4,0,0,60,1.4666100020046917,0
1552,0,18,1,1,0,0,0,NaN,1.4695128347507909,0
1568,0,19,2,2,3,0,0,229.33333333333334,1.472421358134229,0
1584,0,18,2,2,2,0,0,96,1.4753355830942145,0
1600,0,18,1,1,3,0,0,106.66666666666667,1.4782555205901922,0
1616,0,16,4,4,2,0,0,88,1.4811811816018832,0
1632,0,18,1,1,2,0,0,136,1.4841125771293164,0
1648,0,17,1,1,1,0,0,32,1.4870497181928617,0
1664,0,17,1,1,2,0,0,88,1.4899926158332721,0
1680,0,16,1,1,1,0,0,64,1.492941281111711,0
1696,0,16,1,1,3,0,0,192,1.4958957251097913,0
1712,0,14,1,1,1,0,0,32,1.4988559589296089,0
1728,0,14,1,1,3,0,0,133.33333333333334,1.5018219936937756,0
1744,0,12,1,1,1,0,0,128,1.5047938405454597,0
1760,0,12,1,1,1,0,0,96,1.5077715106484157,0
1776,0,12,0,0,0,0,0,NaN,1.5107550151870226,0
1792,0,12,4,4,1,0,0,176,1.513744365366319,0
1808,0,15,1,1,3,0,0,149.33333333333334,1.5167395724120332,0
1824,0,13,1,1,2,0,0,32,1.5197406475706274,0
1840,0,12,0,0,1,0,0,96,1.5227476021093262,0
1856,0,11,2,2,3,0,0,58.666666666666664,1.5257604473161546,0
1872,0,10,2,2,0,0,0,NaN,1.528779194499974,0
1888,0,12,1,1,0,0,0,NaN,1.5318038549905129,0
1904,0,13,0,0,1,0,0,432,1.5348344401384113,0
1920,0,12,5,5,2,0,0,128,1.5378709613152481,0
1936,0,15,3,3,1,0,0,16,1.5409134299135807,0
1952,0,17,0,0,2,0,0,192,1.5439618573469818,0
1968,0,15,2,2,2,0,0,40,1.5470162550500692,0
1984,0,15,1,1,3,0,0,96,1.5500766344785486,0
2000,0,13,0,0,1,0,0,64,1.553143007109246,0
2016,0,12,1,1,1,0,0,96,1.5562153844401438,0
2032,0,12,0,0,4,0,0,236,1.5592937779904188,0
2048,0,8,1,1,0,0,0,NaN,1.5623781993004724,0
2064,0,9,3,3,0,0,0,NaN,1.5654686599319743,0
2080,0,12,1,1,1,0,0,656,1.5685651714678945,0
2096,0,12,1,1,1,0,0,32,1.571667745512539,0
2112,0,12,1,1,4,0,0,36,1.5747763936915886,0
2128,0,9,1,1,1,0,0,160,1.5778911276521301,0
2144,0,9,1,1,0,0,0,NaN,1.5810119590627,0
2160,0,10,2,2,0,0,0,NaN,1.5841388996133146,0
2176,0,12,4,4,1,0,0,256,1.5872719610155095,0
2192,0,15,0,0,2,0,0,48,1.5904111550023767,0
2208,0,13,1,1,1,0,0,32,1.5935564933285957,0
2224,0,13,2,2,1,0,0,304,1.596707987770477,0
2240,0,14,0,0,3,0,0,202.66666666666666,1.599865650125996,0
2256,0,11,2,2,3,0,0,80,1.603029492214827,0
2272,0,10,2,2,1,0,0,16,1.6061995258783868,0
2288,0,11,0,0,3,0,0,170.66666666666666,1.609375762979861,0
2304,0,8,3,3,1,0,0,80,1.6125582154042508,0
2320,0,10,3,3,0,0,0,NaN,1.6157468950584044,0
2336,0,13,5,5,3,0,0,496,1.6189418138710565,0
2352,0,15,0,0,2,0,0,40,1.6221429837928647,0
2368,0,13,3,3,4,0,0,52,1.6253504167964412,0
2384,0,12,0,0,1,0,0,112,1.6285641248764005,0
2400,0,11,10,10,1,0,0,64,1.6317841200493866,0
2416,0,20,1,1,2,0,0,48,1.6350104143541169,0
2432,0,19,1,1,2,0,0,72,1.6382430198514168,0
2448,0,18,0,0,4,0,0,204,1.6414819486242518,0
2464,0,14,1,1,3,0,0,208,1.6447272127777754,0
2480,0,12,1,1,2,0,0,240,1.6479788244393598,0
2496,0,11,5,5,0,0,0,NaN,1.6512367957586334,0
2512,0,16,1,1,2,0,0,56,1.6545011389075208,0
2528,0,15,0,0,2,0,0,128,1.6577718660802756,0
2544,0,13,2,2,1,0,0,32,1.6610489894935252,0
2560,0,14,1,1,0,0,0,NaN,1.6643325213863012,0
2576,0,15,0,0,0,0,0,NaN,1.6676224740200838,0
2592,0,15,2,2,1,0,0,128,1.6709188596788347,0
2608,0,16,0,0,1,0,0,208,1.6742216906690326,0
2624,0,15,1,1,0,0,0,NaN,1.6775309793197204,0
2640,0,16,1,1,1,0,0,48,1.6808467379825338,0
2656,0,16,2,2,4,0,0,192,1.6841689790317445,0
2672,0,14,1,1,0,0,0,NaN,1.6874977148642978,0
2688,0,15,1,1,3,0,0,74.66666666666667,1.6908329578998427,0
2704,0,13,1,1,1,0,0,208,1.6941747205807838,0
2720,0,13,4,4,1,0,0,320,1.6975230153723104,0
2736,0,16,1,1,3,0,0,112,1.700877854762435,0
2752,0,14,3,3,1,0,0,64,1.7042392512620361,0
2768,0,16,2,2,0,0,0,NaN,1.7076072174048884,0
2784,0,18,0,0,1,0,0,240,1.710981765747711,0
2800,0,17,1,1,2,0,0,120,1.7143629088701982,0
2816,0,16,2,2,1,0,0,64,1.7177506593750633,0
2832,0,17,1,1,1,0,0,32,1.7211450298880737,0
2848,0,17,0,0,2,0,0,56,1.7245460330580868,0
2864,0,15,0,0,2,0,0,232,1.727953681557098,0
2880,0,13,3,3,1,0,0,480,1.7313679880802695,0
2896,0,15,1,1,2,0,0,152,1.7347889653459738,0
2912,0,14,1,1,3,0,0,85.33333333333333,1.7382166260958343,0
2928,0,12,3,3,1,0,0,48,1.7416509830947569,0
2944,0,14,0,0,0,0,0,NaN,1.7450920491309758,0
2960,0,14,1,1,1,0,0,48,1.7485398370160912,0
2976,0,14,0,0,0,0,0,NaN,1.7519943595851044,0
2992,0,14,1,1,1,0,0,96,1.7554556296964647,0
3008,0,14,2,2,1,0,0,80,1.7589236602320952,0
3024,0,15,2,2,1,0,0,624,1.7623984640974468,0
3040,0,16,1,1,1,0,0,16,1.7658800542215283,0
3056,0,16,7,7,0,0,0,NaN,1.7693684435569468,0
3072,0,23,0,0,3,0,0,288,1.7728636450799506,0
3088,0,20,3,3,3,0,0,112,1.7763656717904652,0
3104,0,20,1,1,2,0,0,72,1.779874536712131,0
3120,0,19,1,1,5,0,0,188.8,1.7833902528923489,0
3136,0,15,1,1,1,0,0,48,1.786912833402313,0
3152,0,15,1,1,1,0,0,144,1.790442291337056,0
3168,0,15,1,1,2,0,0,40,1.7939786398154867,0
3184,0,14,1,1,2,0,0,128,1.7975218919804223,0
3200,0,13,1,1,2,0,0,280,1.8010720609986433,0
3216,0,12,0,0,0,0,0,NaN,1.80462916006092,0
3232,0,12,1,1,0,0,0,NaN,1.8081932023820577,0
3248,0,13,0,0,0,0,0,NaN,1.8117642012009387,0
3264,0,13,2,2,1,0,0,32,1.8153421697805536,0
3280,0,14,1,1,1,0,0,80,1.8189271214080522,0
3296,0,14,6,6,0,0,0,NaN,1.8225190693947757,0
3312,0,20,1,1,0,0,0,NaN,1.8261180270763018,0
3328,0,21,0,0,2,0,0,328,1.829724007812481,0
3344,0,19,1,1,1,0,0,288,1.833337024987476,0
3360,0,19,4,4,2,0,0,56,1.836957092009807,0
3376,0,21,0,0,2,0,0,432,1.8405842223123892,0
3392,0,19,1,1,1,0,0,48,1.8442184293525707,0
3408,0,19,0,0,1,0,0,48,1.847859726612179,0
3424,0,18,0,0,1,0,0,128,1.8515081275975527,0
3440,0,17,1,1,0,0,0,NaN,1.8551636458395886,0
3456,0,18,1,1,0,0,0,NaN,1.858826294893782,0
3472,0,19,3,3,2,0,0,208,1.8624960883402657,0
3488,0,20,0,0,2,0,0,296,1.8661730397838503,0
3504,0,18,1,1,1,0,0,32,1.869857162854062,0
3520,0,18,4,4,2,0,0,312,1.873548471205192,0
3536,0,20,0,0,3,0,0,346.6666666666667,1.8772469785163277,0
3552,0,17,3,3,1,0,0,48,1.8809526984914002,0
3568,0,19,1,1,0,0,0,NaN,1.8846656448592232,0
3584,0,20,0,0,3,0,0,144,1.8883858313735296,0
3600,0,17,0,0,4,0,0,216,1.8921132718130198,0
3616,0,13,2,2,2,0,0,144,1.8958479799813988,0
3632,0,13,0,0,3,0,0,341.3333333333333,1.8995899697074172,0
3648,0,10,0,0,1,0,0,96,1.903339254844916,0
3664,0,9,1,1,1,0,0,512,1.9070958492728578,0
3680,0,9,0,0,2,0,0,408,1.9108597668953822,0
3696,0,7,1,1,0,0,0,NaN,1.914631021641836,0
3712,0,8,0,0,1,0,0,16,1.9184096274668196,0
3728,0,7,1,1,1,0,0,160,1.9221955983502312,0
3744,0,7,6,6,0,0,0,NaN,1.9259889482972947,0
3760,0,13,1,1,1,0,0,576,1.9297896913386208,0
3776,0,13,0,0,0,0,0,NaN,1.9335978415302342,0
3792,0,13,2,2,0,0,0,NaN,1.9374134129536205,0
3808,0,15,0,0,3,0,0,112,1.9412364197157685,0
3824,0,12,0,0,2,0,0,96,1.9450668759492062,0
3840,0,10,1,1,0,0,0,NaN,1.948904795812052,0
3856,0,11,1,1,2,0,0,88,1.9527501934880491,0
3872,0,10,0,0,2,0,0,360,1.9566030831866106,0
3888,0,8,2,2,1,0,0,48,1.9604634791428617,0
3904,0,9,4,4,2,0,0,224,1.964331395617676,0
3920,0,11,6,6,0,0,0,NaN,1.9682068468977263,0
3936,0,17,0,0,1,0,0,48,1.9720898472955226,0
3952,0,16,1,1,3,0,0,96,1.975980411149453,0
3968,0,14,7,7,0,0,0,NaN,1.9798785528238294,0
3984,0,21,1,1,3,0,0,64,1.9837842867089217,0
4000,0,19,0,0,2,0,0,32,1.9876976272210125,0
4016,0,17,2,2,1,0,0,48,1.991618588802429,0
4032,0,18,3,3,1,0,0,144,1.9955471859215914,0
4048,0,20,1,1,3,0,0,53.333333333333336,1.9994834330730522,0
4064,0,18,2,2,1,0,0,48,2.0034273447775393,0
4080,0,19,4,4,0,0,0,NaN,2.007378935582001,0
4096,0,23,1,1,2,0,0,96,2.0113382200596437,0
4112,0,22,2,2,4,0,0,156,2.0153052128099813,0
4128,0,20,0,0,3,0,0,282.6666666666667,2.01927992845887,0
4144,0,17,2,2,2,0,0,64,2.0232623816585598,0
4160,0,17,1,1,3,0,0,133.33333333333334,2.0272525870877285,0
4176,0,15,2,2,2,0,0,160,2.031250559451532,0
4192,0,15,1,1,4,0,0,148,2.035256313481644,0
4208,0,12,3,3,1,0,0,64,2.0392698639362967,0
4224,0,14,1,1,1,0,0,48,2.04329122560033,0
4240,0,14,0,0,1,0,0,288,2.047320413285227,0
4256,0,13,1,1,3,0,0,250.66666666666666,2.051357441829162,0
4272,0,11,1,1,2,0,0,40,2.055402326097047,0
4288,0,10,3,3,1,0,0,80,2.0594550809805647,0
4304,0,12,1,1,0,0,0,NaN,2.0635157213982236,0
4320,0,13,0,0,1,0,0,48,2.0675842622953895,0
4336,0,12,2,2,0,0,0,NaN,2.0716607186443388,0
4352,0,14,1,1,1,0,0,64,2.0757451054442986,0
4368,0,14,1,1,1,0,0,64,2.0798374377214874,0
4384,0,14,0,0,2,0,0,264,2.0839377305291644,0
4400,0,12,4,4,1,0,0,32,2.088045998947666,0
4416,0,15,1,1,1,0,0,128,2.0921622580844557,0
4432,0,15,3,3,1,0,0,32,2.0962865230741654,0
4448,0,17,2,2,3,0,0,58.666666666666664,2.100418809078639,0
4464,0,16,4,4,2,0,0,48,2.104559131286975,0
4480,0,18,1,1,3,0,0,378.6666666666667,2.108707504915574,0
4496,0,16,2,2,2,0,0,344,2.1128639452081797,0
4512,0,16,1,1,1,0,0,64,2.1170284674359237,0
4528,0,16,3,3,1,0,0,48,2.1212010868973676,0
4544,0,18,1,1,3,0,0,213.33333333333334,2.1253818189185516,0
4560,0,16,1,1,1,0,0,96,2.1295706788530384,0
4576,0,16,0,0,1,0,0,64,2.133767682081947,0
4592,0,15,1,1,1,0,0,96,2.137972844014014,0
4608,0,15,1,1,3,0,0,122.66666666666667,2.142186180085622,0
4624,0,13,1,1,0,0,0,NaN,2.146407705760856,0
4640,0,14,1,1,0,0,0,NaN,2.1506374365315417,0
4656,0,15,0,0,2,0,0,112,2.154875387917287,0
4672,0,13,0,0,0,0,0,NaN,2.159121575465536,0
4688,0,13,1,1,0,0,0,NaN,2.163376014751603,0
4704,0,14,1,1,1,0,0,112,2.1676387213787267,0
4720,0,14,1,1,3,0,0,320,2.1719097109781105,0
4736,0,12,0,0,1,0,0,208,2.1761889992089625,0
4752,0,11,1,1,2,0,0,192,2.1804766017585484,0
4768,0,10,0,0,0,0,0,NaN,2.1847725343422315,0
4784,0,10,1,1,2,0,0,280,2.189076812703521,0
4800,0,9,1,1,1,0,0,336,2.193389452614114,0
4816,0,9,1,1,1,0,0,176,2.1977104698739383,0
4832,0,9,2,2,0,0,0,NaN,2.202039880311206,0
4848,0,11,2,2,2,0,0,208,2.206377699782448,0
4864,0,11,1,1,0,0,0,NaN,2.210723944172567,0
4880,0,12,0,0,0,0,0,NaN,2.215078629394881,0
4896,0,12,3,3,2,0,0,208,2.219441771391163,0
4912,0,13,0,0,2,0,0,80,2.223813386131699,0
4928,0,11,3,3,0,0,0,NaN,2.2281934896153146,0
4944,0,14,2,2,2,0,0,152,2.232582097869439,0
4960,0,14,0,0,3,0,0,112,2.236979226950142,0
4976,0,11,0,0,2,0,0,40,2.241384892942174,0
