t,queue_length,active,arrived,handled,completed,timed_out,rejected,avg_latency,slowdown,drop_p
0,0,0,8,8,0,0,0,NaN,1.2128434984274237,0
16,0,8,3,3,0,0,0,NaN,1.2152480113595179,0
32,0,11,0,0,1,0,0,32,1.2176572539129051,0
48,0,10,1,1,1,0,0,32,1.22007123523777,0
64,0,10,1,1,0,0,0,NaN,1.2224899645014315,0
80,0,11,3,3,2,0,0,80,1.2249134508883754,0
96,0,12,2,2,0,0,0,NaN,1.2273417036002887,0
112,0,14,7,7,1,0,0,64,1.2297747318560805,0
128,0,20,1,1,2,0,0,88,1.2322125448919217,0
144,0,19,1,1,2,0,0,32,1.2346551519612698,0
160,0,18,0,0,3,0,0,42.666666666666664,1.2371025623349012,0
176,0,15,2,2,6,0,0,112,1.2395547853009434,0
192,0,11,1,1,2,0,0,128,1.2420118301648966,0
208,0,10,0,0,1,0,0,96,1.2444737062496776,0
224,0,9,1,1,2,0,0,224,1.2469404228956393,0
240,0,8,0,0,1,0,0,48,1.2494119894606073,0
256,0,7,1,1,1,0,0,112,1.2518884153199081,0
272,0,7,2,2,1,0,0,272,1.2543697098663986,0
288,0,8,0,0,0,0,0,NaN,1.2568558825105005,0
304,0,8,1,1,0,0,0,NaN,1.2593469426802262,0
320,0,9,0,0,2,0,0,72,1.2618428998212148,0
336,0,7,4,4,1,0,0,160,1.2643437633967607,0
352,0,10,5,5,2,0,0,48,1.2668495428878392,0
368,0,13,1,1,1,0,0,16,1.2693602477931487,0
384,0,13,1,1,1,0,0,48,1.2718758876291307,0
400,0,13,2,2,1,0,0,96,1.2743964719300074,0
416,0,14,2,2,0,0,0,NaN,1.2769220102478116,0
432,0,16,1,1,2,0,0,64,1.2794525121524132,0
448,0,15,2,2,3,0,0,101.33333333333333,1.2819879872315578,0
464,0,14,0,0,0,0,0,NaN,1.2845284450908925,0
480,0,14,2,2,3,0,0,170.66666666666666,1.2870738953539984,0
496,0,13,1,1,2,0,0,104,1.2896243476624254,0
512,0,12,2,2,3,0,0,133.33333333333334,1.2921798116757144,0
528,0,11,1,1,1,0,0,48,1.2947402970714403,0
544,0,11,3,3,1,0,0,32,1.2973058135452356,0
560,0,13,1,1,2,0,0,176,1.2998763708108236,0
576,0,12,5,5,2,0,0,248,1.302451978600052,0
592,0,15,1,1,5,0,0,44.8,1.3050326466629207,0
608,0,11,8,8,0,0,0,NaN,1.307618384767617,0
624,0,19,5,5,2,0,0,64,1.3102092027005459,0
640,0,22,2,2,2,0,0,40,1.3128051102663612,0
656,0,22,1,1,4,0,0,68,1.3154061172879994,0
672,0,19,0,0,2,0,0,56,1.3180122336067055,0
688,0,17,1,1,2,0,0,64,1.3206234690820748,0
704,0,16,2,2,3,0,0,69.33333333333333,1.323239833592076,0
720,0,15,3,3,2,0,0,72,1.3258613370330872,0
736,0,16,0,0,3,0,0,90.66666666666667,1.3284879893199273,0
752,0,13,1,1,1,0,0,160,1.3311198003858866,0
768,0,13,2,2,0,0,0,NaN,1.3337567801827623,0
784,0,15,2,2,3,0,0,144,1.3363989386808859,0
800,0,14,1,1,2,0,0,120,1.3390462858691596,0
816,0,13,1,1,1,0,0,112,1.3416988317550884,0
832,0,13,0,0,1,0,0,64,1.344356586364806,0
848,0,12,1,1,1,0,0,64,1.347019559743116,0
864,0,12,0,0,0,0,0,NaN,1.34968776195352,0
880,0,12,1,1,1,0,0,32,1.3523612030782477,0
896,0,12,3,3,1,0,0,80,1.355039893218296,0
912,0,14,1,1,3,0,0,277.3333333333333,1.3577238424934528,0
928,0,12,3,3,2,0,0,320,1.3604130610423364,0
944,0,13,1,1,0,0,0,NaN,1.3631075590224269,0
960,0,14,0,0,2,0,0,472,1.3658073466100964,0
976,0,12,1,1,1,0,0,176,1.3685124340006445,0
992,0,12,2,2,1,0,0,96,1.3712228314083272,0
1008,0,13,1,1,1,0,0,96,1.373938549066394,0
